Food,FOODON ID,Preferred Name,FoodEx_IRI,foodex_embed_avail
Plant-based bacon,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based burger,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based cheese,http://purl.obolibrary.org/obo/FOODON_03543843,imitation cheese (efsa foodex2),A03TY,True
Plant-based chicken,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based cream,http://purl.obolibrary.org/obo/FOODON_03543839,imitation cream (efsa foodex2),A03TR,True
Plant-based ham,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based meatball,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based mince,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based sausage,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based slice,http://purl.obolibrary.org/obo/FOODON_03543826,meat imitates (efsa foodex2),A03TE,True
Plant-based yogurt,http://purl.obolibrary.org/obo/FOODON_03543844,"imitation yoghurt, non soy (efsa foodex2)",A03TZ,True
Pollock,http://purl.obolibrary.org/obo/FOODON_03542354,"pollack, pollock (efsa foodex2)",A02CE,True
Polony,http://purl.obolibrary.org/obo/FOODON_03542174,bologna-type sausage (efsa foodex2),A025R,True
Poppy seed,http://purl.obolibrary.org/obo/FOODON_03541183,poppy seeds (efsa foodex2),A015J,True
Pork,http://purl.obolibrary.org/obo/FOODON_03541926,pig fresh meat (efsa foodex2),A01RG,True
Porridge oat,http://purl.obolibrary.org/obo/FOODON_03540324,oat porridge (efsa foodex2),A00EQ,True
Potato,http://purl.obolibrary.org/obo/FOODON_03540958,potatoes (efsa foodex2),A00ZT,True
Prawn,http://purl.obolibrary.org/obo/FOODON_03542511,shrimps and prawns (efsa foodex2),A02FX,True
Pumpkin,http://purl.obolibrary.org/obo/FOODON_03540697,pumpkins (efsa foodex2),A00KH,True
Pumpkin seed,http://purl.obolibrary.org/obo/FOODON_03541206,pumpkin seeds (efsa foodex2),A015X,True
Quark,http://purl.obolibrary.org/obo/FOODON_03542736,quark (efsa foodex2),A02QK,True
Quinoa,http://purl.obolibrary.org/obo/FOODON_03540015,quinoa grain (efsa foodex2),A000R,True
Quorn,http://purl.obolibrary.org/obo/FOODON_03543828,textured fungal proteins (efsa foodex2),A03TG,True
Quorn sausage,http://purl.obolibrary.org/obo/FOODON_03543828,textured fungal proteins (efsa foodex2),A03TG,True
Raddiccio,http://purl.obolibrary.org/obo/FOODON_03540376,radicchio (efsa foodex2),A00LG,True
Rape leaves,http://purl.obolibrary.org/obo/FOODON_03540394,rape greens (efsa foodex2),A00LV,True
Rapeseed oil,http://purl.obolibrary.org/obo/FOODON_03543099,"rape seed oil, edible (efsa foodex2)",A036V,True
Red Leicester,http://purl.obolibrary.org/obo/FOODON_03542828,"cheese, leicester (efsa foodex2)",A02VL,True
Rice,http://purl.obolibrary.org/obo/FOODON_03540038,rice grain (efsa foodex2),A001D,True
Rice flour,http://purl.obolibrary.org/obo/FOODON_03540077,rice flour (efsa foodex2),A003F,True
Rice milk,http://purl.obolibrary.org/obo/FOODON_03543835,rice drink (efsa foodex2),A03TM,True
Rice noodle,http://purl.obolibrary.org/obo/FOODON_03540195,"noodle, rice (efsa foodex2)",A008F,True
Ricotta,http://purl.obolibrary.org/obo/FOODON_03542738,ricotta (efsa foodex2),A02QL,True
Roquefort,http://purl.obolibrary.org/obo/FOODON_03542916,"cheese, roquefort (efsa foodex2)",A030K,True
Runner bean,http://purl.obolibrary.org/obo/FOODON_03541086,runner beans (dry) (efsa foodex2),A0DCJ,True
Rusk,http://purl.obolibrary.org/obo/FOODON_03540162,rusk (efsa foodex2),A006M,True
Rye flour,http://purl.obolibrary.org/obo/FOODON_03540078,rye flour (efsa foodex2),A003J,True
Salmon,http://purl.obolibrary.org/obo/FOODON_03542296,salmons (efsa foodex2),A0C75,True
